인허가일자,폐업일자,소재지전체주소,도로명전체주소,사업장명,좌표정보(x),좌표정보(y),위생업태명,영업장주변구분명,다중이용업소여부
20090401,20130802,대구광역시 북구 침산동 296-1번지 건영아파트 101동 B101호,"대구광역시 북구 침산로 158, 101동 B101호 (침산동,건영아파트)",마크제이,343629.42,266723.2301,한식,아파트지역,Y
20090414,20100512,대구광역시 북구 대현동 109-9번지,,맛나한식뷔페,345424.7279,266213.3122,한식,주택가주변,N
20090416,20120919,대구광역시 북구 복현동 265-3번지,대구광역시 북구 복현로 76 (복현동),신김밥천국,346511.3526,267683.0107,분식,주택가주변,N
20090409,20110808,대구광역시 북구 칠성동2가 348-25번지,,칠성식당,343943.013,265545.1995,한식,주택가주변,N
20070207,20100830,대구광역시 북구 대현동 316-3번지,,서울생막창,344942.2651,265486.4317,한식,주택가주변,N
20070328,20130819,대구광역시 북구 태전동 155-19번지,대구광역시 북구 태전로7길 3 (태전동),똘똘이한정식,339286.6274,270308.0502,한식,주택가주변,N
20070621,20110124,대구광역시 북구 학정동 948-5번지,,필,341371.726,273334.982,호프/통닭,주택가주변,N
20141002,20150420,대구광역시 달서구 도원동 1449-9번지 (지상1층),"대구광역시 달서구 미리샘길 37, 지상1층 (도원동)",미식가(Misic 家),339527.5624,257396.1416,분식,주택가주변,N
20141002,20190423,대구광역시 달서구 본리동 306-7번지 화신상가 1층6호,"대구광역시 달서구 구마로 137, 지상1층 6호 (본리동, 화신상가)",송하,339320.6616,260820.6882,분식,,N
20070604,20090929,대구광역시 북구 동천동 943-10번지 1층,,둥거리황토화덕,340589.1503,271764.5835,한식,주택가주변,N
20070604,20150903,대구광역시 북구 복현동 423번지,"대구광역시 북구 동북로50길 10 (복현동, 동진아파트C동5호)",치킨런,345906.9692,267287.6872,한식,아파트지역,N
20010524,20160205,대구광역시 북구 산격동 1216-15번지,대구광역시 북구 산격로 105-1 (산격동),팔공식당,345088.6828,267736.6868,한식,주택가주변,N
20010524,20070320,대구광역시 북구 산격동 1400-3번지,,하드코어,345112.1117,266919.107,한식,,N
20010524,20020711,대구광역시 북구 태전동 986번지,,선비와친구들,339302.1817,270658.2301,한식,,N
20010524,20030603,대구광역시 북구 산격동 1382-48번지,,펑키식당,344760.9998,266538.0829,한식,,N
20010524,20090728,대구광역시 북구 산격동 502-23번지,,배달전문,345515.4519,268043.2069,한식,,N
20010524,20070206,대구광역시 북구 노원동3가 1003-4번지,,낙원식당,341580.184,266876.4906,한식,,N
20010524,20020214,대구광역시 북구 노원동2가 200-1번지,,혜림,341880.1855,266803.3344,한식,주택가주변,N
20140924,20171127,대구광역시 달서구 상인동 1407-7번지 1층,"대구광역시 달서구 월배로42길 30, 1층 (상인동)",달아달아,338796.0854,258517.2379,호프/통닭,주택가주변,N
20140926,20160525,대구광역시 달서구 진천동 291-15번지 1~2층,"대구광역시 달서구 진천로 8, 1~2층 (진천동)",카페810,337934.38,257690.7212,까페,,N
20140926,20141020,대구광역시 달서구 도원동 1442-1번지 지은SPOREX (지상1층),"대구광역시 달서구 도원로 36, 지상1층 (도원동, 지은SPOREX)",쿡1015,338706.8833,257347.5946,한식,,N
20140929,20160407,대구광역시 달서구 진천동 599번지 외 2필지 A동 (지상4층),"대구광역시 달서구 월배로 63, A동 지상4층 (진천동)",프리미엄엔젤,337466.5448,258202.0536,뷔페식,아파트지역,Y
20140929,20151119,대구광역시 달서구 상인동 821번지 월촌화성타운상가 201동 101호,"대구광역시 달서구 송현로7길 41, 상가201동 101호 (상인동, 상인동, 월촌화성타운)",이루보쌈,339817.103,258768.4188,한식,아파트지역,N
20141001,20200918,대구광역시 달서구 대곡동 30-2 (지상1층),"대구광역시 달서구 비슬로 2710, 지상1층 (대곡동)",봉구찜닭,336589.0209,257559.8061,통닭(치킨),주택가주변,N
20141001,20160808,대구광역시 달서구 본리동 65-4번지 1층,"대구광역시 달서구 와룡로22길 38, 1층 (본리동)",쪽,338988.4424,261283.8128,한식,,N
20141001,20170410,대구광역시 달서구 진천동 44-4번지 1층,"대구광역시 달서구 월배로 165, 1층 (진천동)",죽이야기 월배역점,338386.3514,258529.6978,기타,,N
20141016,20180928,대구광역시 달서구 상인동 54-5번지 1~2층,"대구광역시 달서구 월곡로 332, 1~2층 (상인동)",부바스,338562.8191,259125.3959,호프/통닭,아파트지역,Y
20141007,20180731,대구광역시 달서구 송현동 104-2번지 (지상1층),"대구광역시 달서구 구마로52안길 89, 지상1층 (송현동)",돈앤쿡,339897.8879,260468.0161,경양식,주택가주변,N
20141007,20161101,대구광역시 달서구 송현동 1916-3번지 (지상1층),"대구광역시 달서구 월배로67길 27, 지상1층 (송현동)",대불촌숯불갈비,339604.5877,259557.3054,식육(숯불구이),주택가주변,N
20141013,20180621,대구광역시 달서구 송현동 2008-26번지 (지상1층),"대구광역시 달서구 중흥로 53, 지상1층 (송현동)",친구야놀자,340687.4893,259966.028,호프/통닭,주택가주변,N
20141029,20141128,대구광역시 달서구 이곡동 1000-49번지 1층,"대구광역시 달서구 성서로76길 7, 1층 (이곡동)",국수포차,336139.1902,262208.4503,분식,,N
20141107,20170228,대구광역시 달서구 죽전동 407-25번지 (지상1층),"대구광역시 달서구 달구벌대로305길 60, 지상1층 (죽전동)",다야채찜닭,338488.2836,262464.034,한식,,N
20141215,20201103,대구광역시 달서구 월성동 1826,"대구광역시 달서구 조암로 32, 지상2층 210호 (월성동, 신월성 미소지움)",팔오팔오(8585)상회월성본점,337867.1614,259418.8447,한식,,Y
20141216,20180205,대구광역시 달서구 본동 749번지 (지상1층),"대구광역시 달서구 와룡로 43, 지상1층 (본동)",마포연탄석쇠,338758.123,260684.3344,식육(숯불구이),,N
20070604,20120322,대구광역시 북구 구암동 818-8번지,대구광역시 북구 구암로54길 3-40 (구암동),멀우와달래,341383.1051,271827.561,한식,주택가주변,N
20070605,20170728,대구광역시 북구 대현동 24-14번지,대구광역시 북구 경대로5길 1 (대현동),석봉찜닭,345629.3463,266101.536,한식,학교정화(상대),N
20010525,20200622,대구광역시 북구 산격동 1216-38번지,대구광역시 북구 산격로 109-7 (산격동),웰빙보리밥,345104.8185,267785.0437,한식,주택가주변,N
20010525,20171208,대구광역시 북구 산격동 1216-30번지,대구광역시 북구 산격로19길 6-1 (산격동),빛고을손칼국수앤찜,345012.966,267699.4899,한식,,N
20010525,20041008,대구광역시 북구 노원동3가 733번지,,혜성수산,341197.6185,266671.4593,한식,,N
20010526,20020501,대구광역시 북구 관음동 1362-9번지,,실내포장마차,339448.24,271855.2675,한식,주택가주변,N
20010526,20080121,대구광역시 북구 노원동2가 93-1번지,,남경막창,342080.0945,266804.2624,중국식,,N
20010526,20120816,대구광역시 북구 관음동 209-7번지 . 9    215-4,"대구광역시 북구 관음중앙로 98-1 (관음동,. 9    215-4)",순한우식육식당,339340.7422,272477.2217,한식,주택가주변,N
20010526,20090818,대구광역시 북구 칠성동2가 343-23번지,,실내포장둥지,343996.5291,265504.1328,한식,,N
20141014,20150827,대구광역시 달서구 상인동 1596번지 외 1필지 상인화성파크드림 1222동 104호,"대구광역시 달서구 송현로7길 20, 1222동 지상1층 104호 (상인동, 상인화성파크드림)",떡볶이&스토리,339605.5905,259057.414,분식,아파트지역,N
20141015,20190304,대구광역시 달서구 상인동 1572-3번지 1층,"대구광역시 달서구 월곡로28길 39, 1층 (상인동)",짱스막창,339764.5568,257820.9523,기타,주택가주변,N
20141015,20201209,대구광역시 달서구 본리동 83-6 (지상2층),"대구광역시 달서구 대명천로 200, 지상2층 (본리동)",사랑방손님,338914.7978,261233.3326,한식,,N
20141015,20161219,대구광역시 달서구 신당동 1702-17번지 (지상1층),"대구광역시 달서구 계대동문로3안길 27, 지상1층 (신당동)",맛있는파파닭,334765.9187,263070.195,통닭(치킨),주택가주변,N
20141015,20160629,대구광역시 달서구 이곡동 661-2번지,대구광역시 달서구 달구벌대로260길 25 (이곡동),국밥제대로하는집,336243.9789,262148.0874,한식,,N
20141015,20210105,대구광역시 달서구 이곡동 1000-241 (지상1층),"대구광역시 달서구 성서로 365, 지상1층 (이곡동)",신라뷔페,336050.4735,262132.7989,뷔페식,,N
20141020,20150422,대구광역시 달서구 진천동 247-12번지 외 1필지 (지상1층),"대구광역시 달서구 월배로 110, 지상1층 (진천동)",총각네빈대떡,337916.6261,258201.7595,정종/대포집/소주방,기타,N
20141020,20210208,대구광역시 달서구 도원동 1433-2 A동 1층,"대구광역시 달서구 도원로서길 5, A동 1층 (도원동)",대곡국수,338690.2503,257486.8242,한식,기타,N
20141022,20160902,대구광역시 달서구 상인동 1454-2번지 (지상1층),"대구광역시 달서구 상원로 21, 지상1층 (상인동)",불로군불족발(상인점),338786.9047,257965.3793,기타,주택가주변,N
20141023,20190412,대구광역시 달서구 성당동 444-12번지 (성당동),"대구광역시 달서구 대명천로8길 55, 지상1층 (성당동)",바다수산,340524.2943,261238.0761,한식,,N
20141027,20150625,대구광역시 달서구 감삼동 118-8번지 (지상1층),"대구광역시 달서구 달구벌대로332길 82, 지상1층 (감삼동)",맨발의청춘,339614.2428,262251.0704,한식,,N
20141028,20170522,대구광역시 달서구 용산동 416-1번지 성서2차영남우방타운 상가118동 110호,"대구광역시 달서구 이곡공원로 83, 상가118동 110호 (용산동, 성서2차영남우방타운)",롤링라이스 성서점,336933.596,262828.4533,한식,,N
20141029,20201015,대구광역시 달서구 이곡동 1227-9 2층,"대구광역시 달서구 성서로 440-1, 2층 (이곡동)",호야식당,336111.5201,262893.2396,경양식,,N
20141029,20170222,대구광역시 달서구 감삼동 60-9번지 1층,"대구광역시 달서구 당산로 205, 1층 (감삼동)",노군맥주,339730.1977,262744.8915,호프/통닭,,N
20141029,20200306,대구광역시 달서구 대천동 473-1번지 2층 1동 208호,"대구광역시 달서구 월배로11길 32, 1동 2층 208호 (대천동)",오렌지떡볶이카페,337290.4769,258379.5585,경양식,,N
20141030,20190529,대구광역시 달서구 장기동 556-1번지 1층,"대구광역시 달서구 장기로 257, 1층 (장기동)",백두산야초숯불구이,338338.6016,261433.0231,식육(숯불구이),,N
20141117,20200210,대구광역시 달서구 상인동 1538-14번지 (지상1층),"대구광역시 달서구 상인로26안길 63, 지상1층 (상인동)",대장쪽갈비상인점,339807.3758,258364.6212,식육(숯불구이),주택가주변,N
