Date,Country/Region,Confirmed,Recovered,Deaths
2020-01-22,"Korea, South",1,0,0
2020-01-23,"Korea, South",1,0,0
2020-01-24,"Korea, South",2,0,0
2020-01-25,"Korea, South",2,0,0
2020-01-26,"Korea, South",3,0,0
2020-01-27,"Korea, South",4,0,0
2020-01-28,"Korea, South",4,0,0
2020-01-29,"Korea, South",4,0,0
2020-01-30,"Korea, South",4,0,0
2020-01-31,"Korea, South",11,0,0
2020-02-01,"Korea, South",12,0,0
2020-02-02,"Korea, South",15,0,0
2020-02-03,"Korea, South",15,0,0
2020-02-04,"Korea, South",16,0,0
2020-02-05,"Korea, South",19,0,0
2020-02-06,"Korea, South",23,0,0
2020-02-07,"Korea, South",24,1,0
2020-02-08,"Korea, South",24,1,0
2020-02-09,"Korea, South",25,3,0
2020-02-10,"Korea, South",27,3,0
2020-02-11,"Korea, South",28,3,0
2020-02-12,"Korea, South",28,7,0
2020-02-13,"Korea, South",28,7,0
2020-02-14,"Korea, South",28,7,0
2020-02-15,"Korea, South",28,9,0
2020-02-16,"Korea, South",29,9,0
2020-02-17,"Korea, South",30,10,0
2020-02-18,"Korea, South",31,12,0
2020-02-19,"Korea, South",31,12,0
2020-02-20,"Korea, South",104,16,1
2020-02-21,"Korea, South",204,16,2
2020-02-22,"Korea, South",433,16,2
2020-02-23,"Korea, South",602,18,6
2020-02-24,"Korea, South",833,18,8
2020-02-25,"Korea, South",977,22,10
2020-02-26,"Korea, South",1261,22,12
2020-02-27,"Korea, South",1766,22,13
2020-02-28,"Korea, South",2337,22,13
2020-02-29,"Korea, South",3150,27,16
2020-03-01,"Korea, South",3736,30,17
2020-03-02,"Korea, South",4335,30,28
2020-03-03,"Korea, South",5186,30,28
2020-03-04,"Korea, South",5621,41,35
2020-03-05,"Korea, South",6088,41,35
2020-03-06,"Korea, South",6593,135,42
2020-03-07,"Korea, South",7041,135,44
2020-03-08,"Korea, South",7314,118,50
2020-03-09,"Korea, South",7478,118,53
2020-03-10,"Korea, South",7513,247,54
2020-03-11,"Korea, South",7755,288,60
2020-03-12,"Korea, South",7869,333,66
